TOXICITY
0.360246
0.93232936
0.4439939
0.34038392
0.4032689
0.46737975
0.25556126
0.7761843
0.92237574
0.8352859
0.24015406
0.95906216
0.69542736
0.88824683
0.60312814
0.60457027
0.6004544
0.24264127
0.3136253
0.7952403
0.09320179
0.5154597
